iter	Passed	Remaining
788	2248	601
789	2252	598
790	2256	596
791	2259	593
792	2263	590
793	2266	588
794	2270	585
795	2273	582
796	2276	579
797	2280	577
798	2283	574
799	2286	571
800	2290	568
801	2293	566
802	2297	563
803	2300	560
804	2304	558
805	2307	555
806	2311	552
807	2314	550
808	2318	547
809	2321	544
810	2325	541
811	2328	539
812	2331	536
813	2334	533
814	2337	530
815	2341	527
816	2345	525
817	2348	522
818	2352	519
819	2355	517
820	2359	514
821	2362	511
822	2367	509
823	2370	506
824	2373	503
825	2377	500
826	2381	498
827	2384	495
828	2387	492
829	2391	489
830	2395	487
831	2397	484
832	2401	481
833	2404	478
834	2408	475
835	2411	473
836	2414	470
837	2417	467
838	2421	464
839	2425	461
840	2428	459
841	2432	456
842	2435	453
843	2438	450
844	2441	447
845	2444	445
846	2448	442
847	2451	439
848	2454	436
849	2458	433
850	2461	430
851	2464	428
852	2467	425
853	2470	422
854	2474	419
855	2477	416
856	2481	414
857	2484	411
858	2488	408
859	2491	405
860	2495	402
861	2498	400
862	2502	397
863	2505	394
864	2509	391
865	2513	388
866	2516	386
867	2519	383
868	2523	380
869	2526	377
870	2529	374
871	2533	371
872	2536	369
873	2540	366
874	2543	363
875	2547	360
876	2551	357
877	2554	354
878	2559	352
879	2563	349
880	2566	346
881	2570	343
882	2573	341
883	2577	338
884	2580	335
885	2584	332
886	2587	329
887	2591	326
888	2595	324
889	2599	321
890	2603	318
891	2607	315
892	2610	312
893	2614	309
894	2617	307
895	2621	304
896	2624	301
897	2628	298
898	2631	295
899	2635	292
900	2638	289
901	2641	286
902	2645	284
903	2648	281
904	2652	278
905	2655	275
906	2659	272
907	2663	269
908	2665	266
909	2669	264
910	2672	261
911	2676	258
912	2679	255
913	2682	252
914	2686	249
915	2689	246
916	2693	243
917	2696	240
918	2700	238
919	2704	235
920	2708	232
921	2711	229
922	2714	226
923	2718	223
924	2721	220
925	2725	217
926	2728	214
927	2732	211
928	2735	209
929	2739	206
930	2742	203
931	2746	200
932	2749	197
933	2753	194
934	2756	191
935	2759	188
936	2762	185
937	2765	182
938	2769	179
939	2772	176
940	2776	174
941	2779	171
942	2783	168
943	2787	165
944	2791	162
945	2794	159
946	2798	156
947	2801	153
948	2805	150
949	2808	147
950	2812	144
951	2816	141
952	2819	139
953	2822	136
954	2826	133
955	2829	130
956	2832	127
957	2835	124
958	2839	121
959	2842	118
960	2846	115
961	2850	112
962	2853	109
963	2857	106
964	2861	103
965	2864	100
966	2867	97
967	2870	94
968	2874	91
969	2877	89
970	2881	86
971	2885	83
972	2887	80
973	2891	77
974	2894	74
975	2898	71
976	2901	68
977	2905	65
978	2909	62
979	2913	59
980	2916	56
981	2920	53
982	2923	50
983	2927	47
984	2930	44
985	2934	41
986	2938	38
987	2942	35
988	2945	32
989	2949	29
990	2952	26
991	2955	23
992	2959	20
993	2963	17
994	2967	14
995	2973	11
996	2976	8
997	2981	5
998	2984	2
999	2988	0
